
File: /tmp/RD75/lib/rdr_lib/librdrcommon.a(rdr_common.o)

Symbol table '.symtab' contains 757 entries:
   Num:    Value  Size Type    Bind   Vis      Ndx Name
    82: 00000000     0 NOTYPE  LOCAL  DEFAULT   52 $t
    83: 00000024     0 NOTYPE  LOCAL  DEFAULT   52 $d
    84: 00000000     0 SECTION LOCAL  DEFAULT   54 .text.es_send_mouse
    85: 00000000     0 NOTYPE  LOCAL  DEFAULT   54 $t
    86: 00000024     0 NOTYPE  LOCAL  DEFAULT   54 $d
    87: 00000000     0 SECTION LOCAL  DEFAULT   56 .text.es_send_extra
    88: 00000000     0 NOTYPE  LOCAL  DEFAULT   56 $t
    89: 00000024     0 NOTYPE  LOCAL  DEFAULT   56 $d
    90: 00000000     0 SECTION LOCAL  DEFAULT   58 .text.bootloader_jump
    91: 00000000     0 NOTYPE  LOCAL  DEFAULT   58 $t
    92: 00000060     0 NOTYPE  LOCAL  DEFAULT   58 $d
    93: 00000000     0 SECTION LOCAL  DEFAULT   60 .text.mcu_reset
    94: 00000000     0 NOTYPE  LOCAL  DEFAULT   60 $t
    95: 00000044     0 NOTYPE  LOCAL  DEFAULT   60 $d
    96: 00000000     0 SECTION LOCAL  DEFAULT   62 .text.es_mcu_reset
    97: 00000000     0 NOTYPE  LOCAL  DEFAULT   62 $t
    98: 00000000     0 SECTION LOCAL  DEFAULT   64 .text.Save_Flash_Set
    99: 00000000     0 NOTYPE  LOCAL  DEFAULT   64 $t
   100: 00000010     0 NOTYPE  LOCAL  DEFAULT   64 $d
   101: 00000000     0 SECTION LOCAL  DEFAULT   66 .text.User_Systi[...]
   102: 00000000     0 NOTYPE  LOCAL  DEFAULT   66 $t
   103: 00000038     0 NOTYPE  LOCAL  DEFAULT   66 $d
   104: 00000000     0 SECTION LOCAL  DEFAULT   67 .text.User_Systi[...]
   105: 00000000     0 NOTYPE  LOCAL  DEFAULT   67 $t
   106: 00000018     0 NOTYPE  LOCAL  DEFAULT   67 $d
   107: 00000000     0 SECTION LOCAL  DEFAULT   68 .text.Init_Gpio_[...]
   108: 00000000     0 NOTYPE  LOCAL  DEFAULT   68 $t
   109: 000000b8     0 NOTYPE  LOCAL  DEFAULT   68 $d
   110: 00000000     0 SECTION LOCAL  DEFAULT   70 .text.User_Sleep
   111: 00000000     0 NOTYPE  LOCAL  DEFAULT   70 $t
   112: 0000003c     0 NOTYPE  LOCAL  DEFAULT   70 $d
   113: 00000000     0 SECTION LOCAL  DEFAULT   72 .text.Get_Spi_Re[...]
